T':,2002.439457, x:,0, x1:,0, y:,17981, y1:,17981, Tw:,0.36662136, Ts:,0.08416646, T:,0.45078781
T':,2000.261306, x:,0, x1:,0, y:,18299, y1:,18299, Tw:,0.40151493, Ts:,0.08201127, T:,0.4835262
T':,2001.23215, x:,0, x1:,0, y:,18003, y1:,18003, Tw:,0.37142741, Ts:,0.08385346, T:,0.45528087
T':,2000.45483, x:,0, x1:,0, y:,17964, y1:,17964, Tw:,0.39931327, Ts:,0.08265166, T:,0.48196492
T':,2000.416412, x:,0, x1:,0, y:,17978, y1:,17978, Tw:,0.38883292, Ts:,0.08422513, T:,0.47305805
T':,2000.386446, x:,0, x1:,0, y:,17916, y1:,17916, Tw:,0.3763404, Ts:,0.08325408, T:,0.45959448
T':,2000.516513, x:,0, x1:,0, y:,17863, y1:,17863, Tw:,0.34868708, Ts:,0.0827543, T:,0.43144137
T':,2000.595802, x:,0, x1:,0, y:,18153, y1:,18153, Tw:,0.38557412, Ts:,0.08359175, T:,0.46916587
T':,2000.360825, x:,0, x1:,0, y:,18023, y1:,18023, Tw:,0.35357807, Ts:,0.08276459, T:,0.43634266
T':,2000.620478, x:,0, x1:,0, y:,18063, y1:,18063, Tw:,0.35225654, Ts:,0.08196299, T:,0.43421953
,,,,,,,,,,,,,,,0.457538176
